"date","H1","ph1","H10","ph10"
1986-10-21,588.889982329031,"1",882.354775609937,"1"
1986-10-22,919.349048679438,"1",1723.68492818197,"1"
1986-10-23,1869.61744027433,"1",2742.39919328407,"1"
1986-10-24,2952.65693358665,"1",4134.40319660536,"1"
1986-10-27,4201.93901813017,"1",5185.81906664347,"1"
1986-10-28,5216.3328506764,"1",5238.6482542444,"1"
1986-10-29,5261.97276363853,"1",4701.88055312024,"1"
1986-10-30,4520.92004265611,"1",4702.98636800011,"1"
1986-10-31,4530.45758165276,"1",5181.84440003788,"1"
1986-11-03,5317.36647924601,"1",5053.46502802003,"1"
1986-11-04,5087.43423205906,"1",5379.07006472333,"1"
1986-11-05,5295.85589785807,"1",5977.61862763455,"1"
1986-11-06,6058.57178295812,"1",6589.55816031422,"1"
1986-11-07,6797.35682320436,"1",7211.0039710828,"1"
1986-11-10,7173.23159944159,"1",7606.04812453946,"1"
1986-11-12,7604.25027385692,"1",7673.15990844736,"1"
1986-11-13,7786.50334774533,"1",7906.05561793287,"1"
1986-11-14,7891.43911246593,"1",7273.11801144212,"1"
1986-11-17,7148.07773135772,"1",6384.96423732343,"1"
1986-11-18,6314.67056385539,"1",5199.91469878268,"1"
1986-11-19,5094.34429182889,"1",4550.71281502304,"1"
1986-11-20,4698.48551513355,"1",4055.83833711574,"1"
1986-11-21,4215.12475388975,"1",3748.7876192073,"1"
1986-11-24,3672.53805175478,"1",2914.16021756176,"1"
1986-11-25,2850.84533439381,"1",2635.31621704508,"1"
1986-11-26,2822.50733650644,"1",3053.14155144342,"1"
1986-11-28,3121.51580690125,"1",3841.83606822609,"1"
1986-12-01,3862.1884453957,"1",4768.13138477696,"1"
1986-12-02,4735.74385436636,"1",5857.85201746711,"1"
1986-12-03,5860.7289951499,"1",7063.45940124539,"1"
1986-12-04,6924.27779573667,"1",8128.41905277476,"1"
1986-12-05,8174.42293170793,"1",9065.35387091203,"1"
1986-12-08,9047.39039863499,"1",9444.9436028538,"1"
1986-12-09,9400.9952364544,"1",9292.45090243773,"1"
1986-12-10,9230.01789325278,"1",9393.06870131392,"1"
1986-12-11,9320.51246069104,"1",8446.75284967701,"1"
1986-12-12,8388.14595267116,"1",7924.80029300893,"1"
1986-12-15,7851.10865735941,"1",7730.74857514979,"1"
1986-12-16,7609.15137266445,"1",7868.5626009025,"1"
1986-12-17,7923.20873808357,"1",8025.61505317354,"1"
1986-12-18,8006.07970075398,"1",8277.62485062665,"1"
1986-12-19,8163.92614531499,"1",8395.14216431747,"1"
1986-12-22,8324.91308169203,"1",8649.02773877592,"1"
1986-12-23,8811.67015012395,"1",8990.5599417564,"1"
1986-12-24,9007.59844378115,"1",9343.5763143031,"1"
1986-12-26,9242.47964561085,"1",9789.18612255298,"1"
1986-12-29,9822.89959525197,"1",10342.9230456357,"1"
1986-12-30,10380.8447879884,"1",10392.8736338235,"1"
1986-12-31,10264.99404068,"1",10402.0190887306,"1"
1987-01-02,10275.6924514513,"1",9547.96162016469,"1"
1987-01-05,9517.86504983831,"1",9328.05668068231,"1"
1987-01-06,9308.78228227802,"1",9220.08992685417,"1"
1987-01-07,9151.5252754897,"1",9322.50578716903,"1"
1987-01-08,9349.71730612754,"1",9585.27468972825,"1"
1987-01-09,9568.9570431791,"1",9999.63154004035,"1"
1987-01-12,10045.6555928714,"1",10531.9216113014,"1"
1987-01-13,10535.4737654756,"1",10764.9626651123,"1"
1987-01-14,10752.4085966739,"1",8858.59037449171,"1"
1987-01-15,8771.99100848022,"1",7344.80787497073,"1"
1987-01-16,7355.08922363959,"1",6372.02356009578,"1"
1987-01-20,6296.07138819666,"1",5551.63289897636,"1"
1987-01-21,5393.16635523298,"1",4830.20583700815,"1"
1987-01-22,4832.668961824,"1",4691.39639386393,"1"
1987-01-23,4726.78844205231,"1",5150.96118443099,"1"
1987-01-26,5215.52745711501,"1",5547.39798350767,"1"
1987-01-27,5643.57717574855,"1",4631.16571980742,"1"
1987-01-28,4599.57905689894,"1",3750.35049037427,"1"
1987-01-29,3655.20005434835,"1",2927.91986249089,"1"
1987-01-30,2933.9500779924,"1",2518.82573410122,"1"
1987-02-02,2628.05641497422,"1",2327.19247940651,"1"
1987-02-03,2435.91134340635,"1",2004.15407841237,"1"
1987-02-04,2028.68854587521,"1",1656.49153037217,"1"
1987-02-05,1626.2695053732,"1",1537.5355274287,"1"
1987-02-06,1562.27569959422,"1",1221.93880848463,"1"
1987-02-09,1234.33254349203,"1",1604.86065973539,"1"
1987-02-10,1572.78892737418,"1",2243.8744638821,"1"
1987-02-11,2204.15846054075,"1",2824.7267182155,"1"
1987-02-12,2838.89000709198,"1",2667.7793192138,"1"
1987-02-13,2605.66528825578,"1",2315.52629064229,"1"
1987-02-17,2271.43057532763,"1",2474.49915325606,"1"
1987-02-18,2681.06385036244,"1",2342.68602452461,"1"
1987-02-19,2617.1532681157,"1",2485.84637655889,"1"
1987-02-20,2312.5157755409,"1",2833.2356966003,"1"
1987-02-23,2788.89960139805,"1",3392.28106024934,"1"
1987-02-24,3736.3846234551,"1",4529.79529937912,"1"
1987-02-25,4595.07164171391,"1",5653.95251697213,"1"
1987-02-26,5590.88958105651,"1",5884.19964389434,"1"
1987-02-27,5999.39759210032,"1",6646.3012440217,"1"
1987-03-02,6577.18511577072,"1",7334.10231245308,"1"
1987-03-03,7239.04303298301,"1",7345.86548447694,"1"
1987-03-04,7413.04703945887,"1",7698.85534981198,"1"
1987-03-05,7566.40956780527,"1",7441.3883444582,"1"
1987-03-06,7391.06236807509,"1",6157.19160494312,"1"
1987-03-09,6231.64404917879,"1",5077.5518261653,"1"
1987-03-10,5003.78775034907,"1",4390.04930573353,"1"
1987-03-11,4473.91752985084,"1",3662.91248534651,"1"
1987-03-12,3863.23304412382,"1",3017.59978355983,"1"
1987-03-13,3038.41964635588,"1",2518.10292105096,"1"
1987-03-16,2352.72007531032,"1",1895.92807156772,"1"
1987-03-17,2033.44212804063,"1",2292.36800342599,"1"
1987-03-18,2392.72030530692,"1",3206.94879454378,"1"
1987-03-19,3190.63669511176,"1",4216.23511432774,"1"
1987-03-20,4329.37537011049,"1",5566.36897076,"1"
1987-03-23,5649.23963050476,"1",6124.64717314878,"1"
1987-03-24,6126.37089800275,"1",5181.91528873888,"1"
1987-03-25,5137.96926492543,"1",4299.15680675493,"1"
1987-03-26,4279.19233234989,"1",3536.41118530874,"1"
1987-03-27,3563.22760849802,"1",3182.4692498598,"1"
1987-03-30,3118.92624035797,"1",3220.68830620435,"1"
1987-03-31,3247.43982505199,"1",3636.61711889634,"1"
1987-04-01,3768.06338071906,"1",3838.38390776141,"1"
1987-04-02,3914.52364523666,"1",4503.55147801047,"1"
1987-04-03,4485.34900629283,"1",5415.12972004613,"1"
1987-04-06,5476.41978061477,"1",6327.58344329375,"1"
1987-04-07,6468.06776475423,"1",7291.48298918831,"1"
